Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
25, 1, SelectiveNorthernHardwood, 17, 45, 113, 961, 256, 16, 211.74, 13.2338, 93, 0, 0, 23, 20, 21, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44.34, 26.8, 70.75, 0, 69.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 10, 22, 328, 4386, 68, 6, 37.55, 6.2583, 44, 0, 0, 6, 17, 9, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35, 16.79, 7.74, 0, 11.67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 1, 33, 161, 2456, 96, 7, 104.6, 14.9429, 56, 0, 0, 11, 15, 12, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.26, 18.46, 34.83, 0, 35.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 22, 41, 144, 1243, 294, 23, 371.5, 16.1522, 155, 0, 0, 39, 30, 38, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84.15, 38.57, 125.28, 0, 123.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 9, 15, 260, 4826, 65, 5, 45, 9, 34, 0, 0, 6, 8, 9, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.93, 7.7, 16.14, 0, 16.23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 12, 21, 314, 4536, 80, 4, 71.11, 17.7775, 43, 0, 0, 8, 10, 10, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.95, 10.86, 24.81, 0, 26.49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 11, 32, 352, 2469, 40, 2, 13, 6.5, 15, 0, 0, 2, 5, 3, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45, 4.93, 2.58, 0, 5.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 13, 46, 173, 887, 42, 4, 72.42, 18.105, 24, 0, 0, 7, 4, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19.1, 7.65, 22.82, 0, 22.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 18, 26, 313, 3304, 100, 9, 70.06, 7.7844, 63, 0, 0, 10, 20, 14, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.83, 20.17, 20.05, 0, 24.01, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 14, 48, 365, 606, 64, 1, 10.14, 10.14, 13, 0, 0, 2, 4, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45, 3.22, 2.58, 0, 3.89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
