Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
25, 1, SelectiveNorthernHardwood, 53, 71, 96, 21, 90, 5, 33.87, 6.774, 11, 0, 0, 6, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.99, 1.47, 6.41, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 57, 74, 82, 10, 118, 3, 25.94, 8.6467, 8, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.49, 0, 6.43, 0, 7.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 56, 64, 102, 61, 82, 2, 22.63, 11.315, 7, 0, 0, 3, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.21, 0, 6.42, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 55, 61, 100, 85, 84, 2, 41.92, 20.96, 12, 0, 0, 4, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.64, 0, 14.1, 0, 15.18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 60, 73, 97, 17, 51, 3, 10.38, 3.46, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 65, 37, 169, 1931, 179, 12, 164.93, 13.7442, 86, 0, 0, 20, 20, 19, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.04, 23.16, 53.66, 0, 55.07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 61, 55, 138, 357, 52, 4, 52.71, 13.1775, 17, 0, 0, 5, 1, 6, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.95, 1.22, 19.04, 0, 16.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 52, 62, 160, 67, 2, 1, 3.46, 3.46, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 58, 52, 163, 482, 36, 2, 38.84, 19.42, 12, 0, 0, 4, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.94, 0, 12.86, 0, 14.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 59, 65, 153, 60, 20, 1, 3.46, 3.46, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 64, 17, 198, 4699, 107, 11, 258.07, 23.4609, 111, 0, 0, 22, 31, 24, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41.5, 42.98, 87.77, 0, 85.82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 62, 51, 124, 528, 44, 3, 38.15, 12.7167, 14, 0, 0, 3, 5, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.16, 10.59, 9.96, 0, 10.44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 66, 29, 227, 2911, 138, 9, 159.29, 17.6989, 82, 0, 0, 16, 20, 19, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.51, 25.38, 57.21, 0, 55.19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 63, 68, 109, 33, 75, 3, 11.84, 3.9467, 4, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.47, 0, 3.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25, 1, SelectiveNorthernHardwood, 67, 58, 156, 271, 39, 4, 61.44, 15.36, 19, 0, 0, 7, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.09, 0, 19.29, 0, 21.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 4, 80, 330, 5528, 29, 1, 10.13, 10.13, 13, 0, 0, 2, 4, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45, 3.21, 2.58, 0, 3.89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 6, 87, 289, 4613, 59, 5, 89.17, 17.834, 49, 0, 0, 9, 18, 9, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.36, 21.92, 28.05, 0, 26.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 7, 77, 309, 5951, 57, 6, 70.66, 11.7767, 63, 0, 0, 10, 18, 14, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.8, 17.62, 20.03, 0, 27.21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 2, 86, 297, 4625, 31, 1, 10.14, 10.14, 13, 0, 0, 2, 4, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45, 3.22, 2.58, 0, 3.89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 8, 118, 366, 534, 69, 1, 1.19, 1.19, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 3, 81, 235, 5240, 51, 6, 87.17, 14.5283, 61, 0, 0, 12, 14, 15, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.66, 13.4, 29.93, 0, 31.18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 5, 122, 105, 360, 76, 3, 66.18, 22.06, 22, 0, 0, 6, 3, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.99, 4.48, 22.84, 0, 22.87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 17, 112, 113, 973, 256, 11, 144.2, 13.1091, 72, 0, 0, 17, 15, 17, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.39, 17.61, 48.14, 0, 48.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 10, 89, 329, 4425, 68, 5, 33.18, 6.636, 41, 0, 0, 6, 13, 9, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35, 11.27, 7.74, 0, 12.82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 1, 100, 161, 2481, 96, 6, 98.17, 16.3617, 60, 0, 0, 12, 13, 15, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.37, 13.41, 33.69, 0, 35.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 22, 108, 145, 1259, 294, 21, 363.63, 17.3157, 145, 0, 0, 37, 28, 37, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82.86, 36.66, 125.74, 0, 118.37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 9, 82, 261, 4849, 65, 6, 69.17, 11.5283, 33, 0, 0, 6, 8, 7, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.54, 12.17, 22.4, 0, 26.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 12, 88, 314, 4558, 80, 5, 36.36, 7.272, 49, 0, 0, 8, 13, 12, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76, 9.91, 9.85, 0, 14.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 11, 99, 352, 2488, 40, 2, 12.01, 6.005, 14, 0, 0, 2, 5, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45, 5.09, 2.58, 0, 3.89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 13, 113, 173, 900, 42, 5, 115.84, 23.168, 40, 0, 0, 10, 7, 10, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.97, 10.43, 39.21, 0, 40.23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 18, 93, 313, 3337, 100, 7, 55.5, 7.9286, 49, 0, 0, 8, 14, 11, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.11, 13.73, 16.31, 0, 20.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 14, 115, 365, 616, 64, 1, 2.95, 2.95, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 16, 94, 214, 3169, 79, 7, 114.5, 16.3571, 58, 0, 0, 14, 9, 16, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.42, 8.66, 37.99, 0, 41.43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 23, 116, 129, 578, 213, 15, 172.44, 11.496, 69, 0, 0, 23, 6, 20, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53.07, 6.73, 57.8, 0, 54.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 15, 114, 364, 831, 30, 1, 1.26, 1.26, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 20, 79, 248, 5534, 60, 5, 42.58, 8.516, 47, 0, 0, 9, 12, 11, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.97, 7.99, 13.24, 0, 16.38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 19, 106, 344, 1704, 55, 2, 20, 10, 13, 0, 0, 2, 5, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.43, 5.5, 5.89, 0, 6.18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 21, 103, 211, 2103, 71, 8, 118.58, 14.8225, 61, 0, 0, 14, 14, 15, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.79, 10.56, 38.68, 0, 40.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 26, 84, 330, 4742, 154, 9, 51.14, 5.6822, 69, 0, 0, 10, 23, 15, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.97, 19.52, 11.53, 0, 18.12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 27, 120, 126, 397, 145, 9, 175.53, 19.5033, 61, 0, 0, 15, 13, 15, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.24, 19.66, 62.29, 0, 56.34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 28, 110, 159, 994, 183, 14, 196.28, 14.02, 84, 0, 0, 25, 8, 25, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58.51, 6.76, 63.32, 0, 67.69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 29, 78, 292, 5557, 172, 17, 173.97, 10.2335, 135, 0, 0, 20, 50, 27, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.17, 56.45, 47.53, 0, 54.82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 24, 95, 238, 3161, 82, 9, 116.78, 12.9756, 55, 0, 0, 16, 8, 14, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.36, 8.23, 38.09, 0, 39.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 25, 107, 194, 1599, 19, 2, 46.96, 23.48, 16, 0, 0, 4, 3, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.99, 4.75, 16.39, 0, 15.83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 30, 91, 202, 4026, 123, 11, 220.91, 20.0827, 103, 0, 0, 22, 23, 25, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39.35, 28.86, 76.47, 0, 76.23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 34, 83, 292, 4772, 222, 21, 233.67, 11.1271, 169, 0, 0, 28, 52, 37, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.19, 57.38, 72.49, 0, 79.61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 31, 124, 102, 298, 69, 3, 66.33, 22.11, 22, 0, 0, 6, 3, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.94, 4.75, 22.81, 0, 22.83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 32, 139, 109, 19, 79, 1, 3.26, 3.26, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 33, 105, 159, 1861, 58, 5, 92.51, 18.502, 32, 0, 0, 8, 6, 9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.9, 8.46, 32.33, 0, 29.82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 42, 101, 206, 2390, 190, 12, 100.09, 8.3408, 67, 0, 0, 11, 23, 13, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.14, 24.96, 21.78, 0, 36.21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 36, 111, 129, 978, 113, 10, 164.28, 16.428, 55, 0, 0, 17, 7, 14, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45.61, 10.72, 52.07, 0, 55.88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 35, 142, 82, 10, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 38, 76, 251, 6114, 73, 8, 111.93, 13.9913, 68, 0, 0, 12, 20, 15, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.41, 23.53, 37.25, 0, 37.74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 40, 92, 171, 3440, 65, 7, 161.17, 23.0243, 72, 0, 0, 14, 20, 16, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23.05, 25.45, 59.59, 0, 53.08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 37, 136, 94, 30, 78, 4, 27.5, 6.875, 9, 0, 0, 5, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14.05, 0, 6.43, 0, 7.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 39, 90, 194, 4221, 47, 5, 111.29, 22.258, 48, 0, 0, 10, 13, 11, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.99, 17.58, 36.18, 0, 36.54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 41, 97, 167, 2928, 105, 8, 109.78, 13.7225, 73, 0, 0, 14, 15, 19, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.83, 14.02, 39.37, 0, 40.56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 45, 126, 102, 205, 135, 11, 157.72, 14.3382, 50, 0, 0, 16, 5, 14, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48.94, 7.39, 49.97, 0, 51.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 44, 98, 179, 2605, 52, 6, 128.91, 21.485, 52, 0, 0, 12, 12, 12, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.03, 15.97, 46.02, 0, 42.89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 47, 130, 112, 64, 121, 8, 74.56, 9.32, 23, 0, 0, 11, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.21, 0, 19.29, 0, 21.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 43, 109, 128, 1002, 24, 3, 39.23, 13.0767, 16, 0, 0, 6, 2, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.89, 2.84, 11.32, 0, 12.18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 46, 102, 150, 2340, 92, 6, 118.43, 19.7383, 55, 0, 0, 12, 12, 13, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.67, 13.48, 43.51, 0, 40.77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 48, 121, 124, 379, 67, 5, 75.53, 15.106, 25, 0, 0, 8, 4, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.46, 6.16, 23.99, 0, 23.92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 50, 134, 85, 41, 67, 2, 11.25, 5.625, 5, 0, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.03, 0, 1.58, 0, 1.64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 51, 127, 125, 196, 95, 4, 63.98, 15.995, 21, 0, 0, 7, 2, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.07, 2.6, 19.27, 0, 21.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 49, 133, 136, 44, 72, 4, 13.04, 3.26, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 54, 137, 109, 23, 121, 5, 17.3, 3.46, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 53, 138, 96, 23, 90, 3, 18.91, 6.3033, 9, 0, 0, 4, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.06, 0.87, 3.82, 0, 4.16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 57, 141, 82, 10, 118, 2, 6.42, 3.21, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.26, 0, 3.16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 56, 131, 102, 62, 82, 2, 6.52, 3.26, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 55, 128, 100, 85, 84, 4, 64.54, 16.135, 19, 0, 0, 7, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.87, 0, 20.5, 0, 22.17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 60, 140, 97, 17, 51, 4, 12.35, 3.0875, 5, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.77, 0, 0, 0, 1.58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 65, 104, 169, 1950, 179, 10, 120.11, 12.011, 64, 0, 0, 17, 10, 16, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.65, 8.46, 36.44, 0, 43.56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 61, 123, 139, 360, 52, 6, 109.27, 18.2117, 37, 0, 0, 12, 3, 11, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.74, 4.06, 35.74, 0, 35.73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 52, 129, 162, 70, 2, 1, 2.03, 2.03, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 58, 119, 163, 484, 36, 3, 42.02, 14.0067, 13, 0, 0, 5, 0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.12, 0, 12.86, 0, 14.04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 59, 132, 153, 60, 20, 2, 6.92, 3.46, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 64, 85, 199, 4742, 107, 11, 239.61, 21.7827, 97, 0, 0, 20, 25, 22, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40.81, 35.77, 83.19, 0, 79.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 62, 117, 124, 542, 44, 4, 64.16, 16.04, 26, 0, 0, 7, 5, 6, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.54, 5.27, 22.26, 0, 21.09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 66, 96, 227, 2936, 138, 12, 130.66, 10.8883, 72, 0, 0, 18, 14, 17, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.29, 14.25, 40.16, 0, 43.96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 63, 135, 109, 33, 75, 3, 27.88, 9.2933, 8, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.24, 0, 7.05, 0, 7.59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 67, 125, 156, 273, 39, 3, 59.41, 19.8033, 19, 0, 0, 6, 1, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.91, 1.15, 19.29, 0, 21.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, SelectiveNorthernHardwood, 4, 146, 339, 6208, 29, 2, 10.39, 5.195, 6, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, SelectiveNorthernHardwood, 6, 152, 299, 5311, 59, 6, 76.33, 12.7217, 44, 0, 0, 5, 22, 7, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.09, 26.86, 20.48, 0, 20.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, SelectiveNorthernHardwood, 7, 144, 319, 6651, 57, 6, 37.01, 6.1683, 43, 0, 0, 3, 18, 9, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.59, 16.94, 6.9, 0, 12.58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, SelectiveNorthernHardwood, 2, 154, 307, 5178, 31, 3, 42.27, 14.09, 24, 0, 0, 3, 9, 5, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.99, 10.27, 10.17, 0, 13.84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, SelectiveNorthernHardwood, 8, 185, 376, 608, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, SelectiveNorthernHardwood, 3, 148, 244, 5890, 51, 6, 86.18, 14.3633, 47, 0, 0, 7, 14, 10, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12.5, 13.02, 28.49, 0, 32.17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
